$zero	00000
$0	00000
$at	00001
$1	00001
$v0	00010
$2	00010
$v1	00011
$3	00011
$a0	00100
$4	00100
$a1	00101
$5	00101
$a2	00110
$6	00110
$a3	00111
$7	00111
$t0	01000
$8	01000
$t1	01001
$9	01001
$t2	01010
$10	01010
$t3	01011
$11	01011
$t4	01100
$12	01100
$t5	01101
$13	01101
$t6	01110
$14	01110
$t7	01111
$15	01111
$t8	11000
$24	11000
$t9	11001
$25	11001
$s0	10000
$16	10000
$s1	10001
$17	10001
$s2	10010
$18	10010
$s3	10011
$19	10011
$s4	10100
$20	10100
$s5	10101
$21	10101
$s6	10110
$22	10110
$s7	10111
$23	10111
$k0	11010
$26	11010
$k1	11011
$27	11011
$gp	11100
$28	11100
$sp	11101
$29	11101
$fp	11110
$30	11110
$ra	11111
$31	11111
